"School.Name","City","LAT","LNG","Exemption"
"CENTER ELEMENTARY SCHOOL","ABINGTON",42.1048228,-70.9453218,0
"C.T. DOUGLAS","ACTON",42.4816957,-71.4716724,3.3
"LUTHER CONANT","ACTON",42.4751878,-71.4363831,0
"MCCARTHY-TOWNE","ACTON",42.4769577,-71.4539435,0
"MERRIAM SCHOOL","ACTON",42.4778,-71.4556,0
"P.P. GATES","ACTON",42.4792045,-71.4736581,3.3
"ACUSHNET ELEMENTARY","ACUSHNET",41.7254237,-70.9059014,0
"PLUNKETT ELEMENTARY","ADAMS",42.6189718,-73.1203807,0
"BENJAMIN PHELPS","AGAWAM",42.0703152,-72.6134071,3.9
"JAMES CLARK SCHOOL","AGAWAM",42.0455116,-72.631502,6
"ROBINSON PARK SCHOOL","AGAWAM",42.0898205,-72.6418162,5.7
"GARDNER PILOT ACADEMY","ALLSTON",42.3607731,-71.1339972,0
"JACKSON MANN SCHOOL","ALLSTON",42.3517771,-71.137231,0
"AMESBURY ELEMENTARY SCHOOL","AMESBURY",42.8660036,-70.9318688,1.1
"CASHMAN ELEMENTARY SCHOOL","AMESBURY",42.8567624,-70.9492673,1.2
"CROCKER FARM ELEMENTARY","AMHERST",42.3472776,-72.5175329,0
"FORT RIVER ELEMENTARY","AMHERST",42.3753662,-72.4987466,2.4
"WILDWOOD ELEMENTARY","AMHERST",42.3872429,-72.5132239,0
"BANCROFT ELEMENTARY","ANDOVER",42.6370369,-71.1258895,1.5
"HENRY C SANBORN","ANDOVER",42.6420646,-71.1786014,0
"HIGH PLAIN ELEMENTARY","ANDOVER",42.664198,-71.212349,3.6
"SHAWSHEEN SCHOOL","ANDOVER",42.6762515,-71.1549495,2.7
"SOUTH ELEMENTARY","ANDOVER",42.626287,-71.1498038,1.4
"ST AUGUSTINE ELEMENTARY","ANDOVER",42.6583356,-71.1367953,2.2
"WEST ELEMENTARY","ANDOVER",42.664198,-71.212349,1.4
"BRACKETT ELEMENTARY","ARLINGTON",42.4124419,-71.1763788,7.2
"CYRUS DALLIN ELEMENTARY","ARLINGTON",42.4176518,-71.1878321,1.4
"HARDY ELEMENTARY","ARLINGTON",42.4044261,-71.1453619,0
"INTERNATIONAL SCHOOL OF BOSTON","ARLINGTON",42.4123876,-71.1587694,2.3
"JOHN A BISHOP ELEMENTARY","ARLINGTON",42.4243203,-71.1546251,0
"M NORCROSS STRATTON SCHOOL","ARLINGTON",42.4153925,-71.1564729,1.5
"PEIRCE SCHOOL","ARLINGTON",42.4285789,-71.178963,2.1
"THOMPSON","ARLINGTON",42.451727,-71.1370672,1.2
"BRIGGS ELEMENTARY","ASHBURNHAM",42.6149195,-71.9270564,2.8
"ASHBY ELEMENTARY","ASHBY",42.678931,-71.824322,4.7
"HENRY E WARREN ELEMENTARY","ASHLAND",42.2421223,-71.4450779,1
"PLEASANT STREET","ATHOL",42.5748332,-72.2188724,8.7
"SANDERS STREET SCHOOL","ATHOL",42.586476,-72.2306386,2.2
"HYMAN FINE ELEMENTARY","ATTLEBORO",41.9161838,-71.2719878,0
"PETER THACHER ELEMENTARY","ATTLEBORO",41.9317562,-71.280343,1.3
"ST JOHN THE EVANGELIST","ATTLEBORO",41.9466479,-71.2892702,0
"STUDLEY ELEMENTARY","ATTLEBORO",41.9369718,-71.3058721,1.1
"THOMAS E WILLETT SCHOOL","ATTLEBORO",41.9462107,-71.2914418,0
"BRYN MAWR","AUBURN",42.204816,-71.8453496,0
"MARY D STONE","AUBURN",42.1951773,-71.8365643,0
"C C BURR ELEMENTARY","AUBURNDALE",42.3522553,-71.2420665,0
"WILLIAMS","AUBURNDALE",42.3420411,-71.2497782,0
"RALPH BUTLER SCHOOL","AVON",42.1306554,-71.0411582,0
"PAGE HILLTOP ELEMENTARY","AYER",42.5611947,-71.5899054,0
"RUGGLES LANE ELEMENTARY","BARRE",42.429571,-72.1087019,2.9
"LT ELEAZAR DAVIS SCHOOL","BEDFORD",42.4848356,-71.3093214,0.5
"COLD SPRING SCHOOL","BELCHERTOWN",42.2744371,-72.3961552,3
"CLARA MACY ELEMENTARY","BELLINGHAM",42.107377,-71.478494,0
"SOUTH ELEMENTARY","BELLINGHAM",42.0344267,-71.4894753,1.2
"STALL BROOK SCHOOL","BELLINGHAM",42.1225,-71.4573,0
"DANIEL BUTLER SCHOOL","BELMONT",42.3859776,-71.1878295,3.9
"MARY LEE BURBANK SCHOOL","BELMONT",42.3884725,-71.1641812,0
"ROGER WELLINGTON","BELMONT",42.3922262,-71.1719884,0.9
"WINN BROOK SCHOOL","BELMONT",42.3956405,-71.1776114,2.1
"BERKLEY COMMUNITY SCHOOL","BERKLEY",41.8329083,-71.0885395,1.2
"AYERS RYAL SIDE SCHOOL","BEVERLY",42.5512062,-70.890327,2
"CENTERVILLE ELEMENTARY","BEVERLY",42.5801084,-70.8415917,0
"COVE ELEMENTARY","BEVERLY",42.5560175,-70.8584402,1.9
"HANNAH ELEMENTARY SCHOOL","BEVERLY",42.5673172,-70.8683822,3.1
"NORTH BEVERLY SCHOOL","BEVERLY",42.5805,-70.8793,1.7
"DUTILE ELEMENTARY","BILLERICA",42.5635618,-71.2940433,0
"EUGENE C VINING","BILLERICA",42.5337263,-71.2593474,0
"HAJJAR ELEMENTARY","BILLERICA",42.5584218,-71.2689461,1.5
"KENNEDY SCHOOL","BILLERICA",42.5663329,-71.2320578,0
"PARKER SCHOOL","BILLERICA",42.5581154,-71.2761974,1.4
"THOMAS DITSON SCHOOL","BILLERICA",42.5369964,-71.2239296,1.1
"JOHN F KENNEDY ELEMENTARY","BLACKSTONE",42.0290268,-71.5453968,2.2
"FLORENCE SAWYER SCHOOL","BOLTON",42.4300454,-71.6088653,0
"ADVENT SCHOOL","BOSTON",42.3607841,-71.0698354,2.9
"BLACKSTONE COMMUNITY","BOSTON",42.3600825,-71.0588801,0
"JOSEPH J HURLEY","BOSTON",42.3600825,-71.0588801,0
"JOSIAH QUINCY","BOSTON",42.3480522,-71.064914,0.7
"KINGSLEY MONTESSORI","BOSTON",42.3503128,-71.0823274,19
"PARK STREET SCHOOL","BOSTON",42.3564907,-71.0717074,2.8
"PEEBLES ELEMENTARY","BOURNE",41.7401336,-70.5910568,5
"BOURNEDALE ELEMENTARY","BOURNEDALE",42.4072107,-71.3824374,3.1
"BLANCHARD MEMORIAL","BOXBORO",42.4821128,-71.505959,0
"HARRY LEE COLE","BOXFORD",42.6603707,-71.0019984,1.2
"BOYLSTON ELEMENTARY SCHOOL","BOYLSTON",42.3312464,-71.7396994,0
"SACRED HEARTS ELEMENTARY","BRADFORD",42.7690423,-71.0756425,8.3
"MONATIQUOT KINDERGARTEN CENTER","BRAINTREE",42.2109718,-71.0064625,0.3
"STONY BROOK ELEMENTARY","BREWSTER",41.7574097,-70.0692559,3.9
"MITCHELL ELEMENTARY @ NORTH HOUSE","BRIDGEWATER",41.9903519,-70.9750541,0
"BALDWIN EARLY LEARNING CENTER","BRIGHTON",42.341947,-71.140567,0
"CONSERVATORY LAB CHARTER","BRIGHTON",42.3524089,-71.1529138,0
"EDISON K-8 SCHOOL","BRIGHTON",42.3463503,-71.1626756,1.3
"ST COLUMBKILLE ELEMENTARY","BRIGHTON",42.3463503,-71.1626756,2.4
"BRIMFIELD ELEMENTARY","BRIMFIELD",42.119261,-72.201745,0
"BB RUSSELL SCHOOL","BROCKTON",42.0824626,-71.0231467,0
"BROOKFIELD SCHOOL","BROCKTON",42.1181511,-71.0103942,0.9
"DOWNEY SCHOOL","BROCKTON",42.0778781,-70.9939334,1.8
"DR W ARNONE SCHOOL","BROCKTON",42.0801741,-71.0250345,0.7
"EDGAR B DAVIS ELEMENTARY","BROCKTON",42.0834335,-71.0183787,0
"GILMORE SCHOOL EARLY CHILDHOOD CTR","BROCKTON",42.0834335,-71.0183787,2.4
"HANCOCK ELEMENTARY","BROCKTON",42.0853129,-71.0667116,1
"HUNTINGTON SCHOOL","BROCKTON",42.0626485,-71.0196712,0
"JOHN F KENNEDY ELEMENTARY","BROCKTON",42.0834335,-71.0183787,0
"LOUIS F ANGELO ELEMENTARY","BROCKTON",42.0952328,-71.0198651,0
"MANTHALA GEORGE SCHOOL","BROCKTON",42.0964516,-71.0399982,0
"MARY E BAKER SCHOOL","BROCKTON",42.0940192,-70.9894135,0
"OSCAR F RAYMOND","BROCKTON",42.1042666,-71.0294906,0
"TRINITY CATHOLIC ACADEMY LOWER CAMP","BROCKTON",42.0834335,-71.0183787,0
"BROOKFIELD ELEMENTARY","BROOKFIELD",42.2141158,-72.0975411,0
"EDWARD DEVOTION","BROOKLINE",42.3317642,-71.1211635,1.7
"GAN TORAH ACADEMY","BROOKLINE",42.339,-71.1391,0
"HEATH","BROOKLINE",42.328681,-71.110559,1.4
"JOHN D RUNKLE","BROOKLINE",42.3341696,-71.1421509,3.2
"LAWRENCE","BROOKLINE",42.7153681,-71.1414683,0
"LINCOLN ELEMENTARY","BROOKLINE",42.3284892,-71.1293765,3
"MICHAEL DRISCOLL","BROOKLINE",42.3411198,-71.136419,4.3
"PARK SCHOOL","BROOKLINE",42.314877,-71.133202,0
"PIERCE SCHOOL","BROOKLINE",42.335722,-71.1220134,0
"FOX HILL SCHOOL","BURLINGTON",42.5293023,-71.1890244,0
"FRANCIS WYMAN ELEMENTARY","BURLINGTON",42.5005115,-71.2155474,2.3
"MEMORIAL SCHOOL","BURLINGTON",42.5005994,-71.1836528,2.7
"MOUNT HOPE CHRISTIAN SCHOOL","BURLINGTON",42.5026668,-71.198445,0
"PINE GLEN ELEMENTARY","BURLINGTON",42.5217409,-71.2058802,0
"AMIGOS SCHOOL","CAMBRIDGE",42.3628407,-71.1083114,0
"BENJAMIN BANNEKER CHARTER SCHOOL","CAMBRIDGE",42.392112,-71.13156,0
"BUCKINGHAM BROWNE AND NICHOLS","CAMBRIDGE",42.3790767,-71.1293219,0
"CAMBRIDGE FRIENDS","CAMBRIDGE",42.3878697,-71.1304558,3.1
"CAMBRIDGEPORT SCHOOL","CAMBRIDGE",42.3693201,-71.0977649,0
"FLETCHER-MAYNARD ACADEMY","CAMBRIDGE",42.3668215,-71.0957828,0
"GRAHAM & PARKS SCHOOL","CAMBRIDGE",42.3826912,-71.1236775,8.1
"HAGGERTY","CAMBRIDGE",42.3780477,-71.1525611,0
"JOHN M TOBIN SCHOOL","CAMBRIDGE",42.383865,-71.139656,1.3
"KENNEDY-LONGFELLOW  SCHOOL","CAMBRIDGE",42.3690748,-71.0866794,0
"KING OPEN SCHOOL","CAMBRIDGE",42.3719969,-71.0916277,1.6
"MARIA L BALDWIN","CAMBRIDGE",42.3823462,-71.1166645,1
"MARTIN LUTHER KING JR SCHOOL","CAMBRIDGE",42.3669163,-71.1135181,1.1
"MORSE SCHOOL","CAMBRIDGE",42.3559633,-71.1124071,0
"PEABODY SCHOOL","CAMBRIDGE",42.3920909,-71.128184,0
"SHADY HILL","CAMBRIDGE",42.3794111,-71.1086037,0
"ST PETERS SCHOOL","CAMBRIDGE",42.3811188,-71.1295682,0
"DEAN S LUCE","CANTON",42.1603866,-71.1330148,1.1
"JOHN F KENNEDY","CANTON",42.1752436,-71.1425876,4.8
"LT PETER M HANSEN SCHOOL","CANTON",42.1833533,-71.1289722,0
"CARLISLE SCHOOL","CARLISLE",42.52644,-71.3490047,1.9
"CARVER ELEMENTARY","CARVER",41.8914421,-70.7745317,0.8
"CENTERVILLE ELEMENTARY","CENTERVILLE",41.646175,-70.353557,2.7
"HARVARD-KENT SCHOOL","CHARLESTOWN",42.3765831,-71.0578957,0
"WARREN PRESCOTT","CHARLESTOWN",42.3779169,-71.0645135,0
"CHARLTON ELEMENTARY SCHOOL","CHARLTON",42.1321725,-71.9711689,1.4
"CHATHAM ELEMENTARY","CHATHAM",41.6864253,-69.9616363,12
"BYAM SCHOOL","CHELMSFORD",42.5728258,-71.3823313,2.6
"CENTER ELEMENTARY","CHELMSFORD",42.6003543,-71.3434814,1.4
"SOUTH ROW SCHOOL","CHELMSFORD",42.5773859,-71.3355578,0
"SHURTLEFF EARLY CHILDHOOD","CHELSEA",42.3899,-71.0354,0
"CHESHIRE ELEMENTARY","CHESHIRE",42.5636944,-73.1584364,0
"CHESTNUT HILL SCHOOL","CHESTNUT HILL",42.3286189,-71.1650322,2.8
"MT ALVERNIA ACADEMY","CHESTNUT HILL",42.3384541,-71.1737646,3.3
"ANNA E BARRY","CHICOPEE",42.1662428,-72.5878661,0
"BELCHER SCHOOL","CHICOPEE",42.1542599,-72.5759219,0
"BOWIE MEMORIAL SCHOOL","CHICOPEE",42.1978307,-72.5588114,0
"JOHN J STEFANIK SCHOOL","CHICOPEE",42.1487043,-72.6078672,0
"LAMBERT-LAVOIE","CHICOPEE",42.1762198,-72.5953554,0
"PATRICK E BOWE","CHICOPEE",42.140567,-72.6085584,0
"SELSER MEMORIAL SCHOOL","CHICOPEE",42.1487043,-72.6078672,0
"STREIBER MEMORIAL","CHICOPEE",42.1945509,-72.5783757,0
"CLINTON ELEMENTARY","CLINTON",42.4185291,-71.6864436,0
"JOSEPH OSGOOD","COHASSET",42.242323,-70.8092101,2
"ALCOTT","CONCORD",42.4532857,-71.3462004,1.3
"THOREAU SCHOOL","CONCORD",42.4536762,-71.4015102,0
"WILLARD ELEMENTARY","CONCORD",42.4294199,-71.3820663,0
"CRANEVILLE","DALTON",42.4753813,-73.1777007,1.8
"GREAT OAK","DANVERS",42.5698692,-70.9487626,4.9
"HIGHLANDS","DANVERS",42.5648168,-70.9594957,1.6
"IVAN G SMITH","DANVERS",42.5876299,-70.95392,0
"RIVERSIDE ELEMENTARY","DANVERS",42.5750009,-70.932122,0
"WILLIS E THORPE","DANVERS",42.5725,-70.9205,1.6
"CUSHMAN SCHOOL","DARTMOUTH",41.5980959,-70.9414674,7
"JAMES M QUINN SCHOOL","DARTMOUTH",41.6274035,-70.9601549,1.9
"EARLY CHILDHOOD EDUCATION CTR","DEDHAM",42.2436085,-71.1676536,1.5
"RASHI SCHOOL","DEDHAM",42.2676056,-71.1971649,2.4
"DIGHTON ELEMENTARY","DIGHTON",41.835463,-71.121908,0
"BRIDGE BOSTON CHARTER SCHOOL","DORCHESTER",42.2993486,-71.0836406,1.3
"CODMAN ACADEMY CHARTER SCHOOL","DORCHESTER",42.289497,-71.0719905,0
"DR WILLIAM HENDERSON SCHOOL","DORCHESTER",42.2938872,-71.0623448,1.7
"JOHN P HOLLAND","DORCHESTER",42.3061086,-71.0737194,0
"JOHN WINTHROP","DORCHESTER",42.3016305,-71.067605,0
"JOSEPH LEE SCHOOL","DORCHESTER",42.2922853,-71.0804479,0
"KING K-8","DORCHESTER",42.292246,-71.061936,0
"LEE ACADEMY","DORCHESTER",42.2922752,-71.0803579,1.6
"MATHER SCHOOL","DORCHESTER",42.3083614,-71.0610281,0
"NEIGHBORHOOD HOUSE CHARTER","DORCHESTER",42.2932146,-71.0533014,1.2
"O W HOLMES SCHOOL","DORCHESTER",42.2966849,-71.0748947,1.2
"PAUL DEVER SCHOOL","DORCHESTER",42.317679,-71.0426997,0
"POPE JOHN PAUL II /NEPONSET CAMPUS","DORCHESTER",42.3016305,-71.067605,1.1
"POPE JOHN PAUL II ACADEMY (LOWER)","DORCHESTER",42.2743794,-71.0671308,2.7
"RICHARD J MURPHY SCHOOL","DORCHESTER",42.2940401,-71.0490059,0
"ROGER CLAP INNOVATION SCHOOL","DORCHESTER",42.3232057,-71.0581739,0
"SARAH GREENWOOD","DORCHESTER",42.3016305,-71.067605,0
"ST BRENDAN SCHOOL","DORCHESTER",42.2825146,-71.0512049,0
"UP ACADEMY DORCHESTER","DORCHESTER",42.2996045,-71.0707302,1.6
"WILLIAM E RUSSELL","DORCHESTER",42.3203616,-71.059592,0
"WILLIAM MONROE TROTTER","DORCHESTER",42.315789,-71.0879068,0
"DOUGLAS PRIMARY","DOUGLAS",42.0705563,-71.7089133,4.6
"CHICKERING","DOVER",42.2572881,-71.2847622,0
"BROOKSIDE ELEMENTARY","DRACUT",42.6729872,-71.3417058,0
"GREENMONT AVENUE","DRACUT",42.6701525,-71.3087381,0
"JOSEPH A. CAMPBELL","DRACUT",42.6631902,-71.2641698,0
"MASON ROAD SCHOOL","DUDLEY",42.0461151,-71.9052453,0
"SWALLOW UNION SCHOOL","DUNSTABLE",42.6731964,-71.4826354,0
"CHANDLER ELEMENTARY","DUXBURY",42.0358072,-70.737355,1.8
"CURTIS GUILD SCHOOL","EAST BOSTON",42.3883127,-71.0042353,0
"EDWARD BROOKE CHARTER SCHOOL 3","EAST BOSTON",42.2818841,-71.1218834,0
"EEC/EAST BOSTON","EAST BOSTON",42.3698437,-71.0342062,0
"HUGH ROE ODONNELL","EAST BOSTON",42.3702137,-71.0388601,0
"JAMES OTIS","EAST BOSTON",42.375254,-71.033871,0
"MANASSAH BRADLEY","EAST BOSTON",42.3917518,-71.0049881,0
"MARIO UMANA ACADEMY","EAST BOSTON",42.3783494,-71.0407923,0
"PATRICK J KENNEDY SCHOOL","EAST BOSTON",42.3784286,-71.0303293,0
"SAMUEL ADAMS SCHOOL","EAST BOSTON",42.3655301,-71.0348347,1.1
"CENTRAL SCHOOL","EAST BRIDGEWATER",42.0300311,-70.9571861,0.7
"EAST FALMOUTH ELEMENTARY","EAST FALMOUTH",41.5768949,-70.5602903,0
"FREETOWN ELEMENTARY","EAST FREETOWN",41.7610549,-71.0147743,0
"MEADOW BROOK","EAST LONGMEADOW",42.0787061,-72.4836966,1.5
"EAST TAUNTON ELEMENTARY","EAST TAUNTON",41.8713964,-71.0411058,0.9
"OLD POST RD ELEMENTARY","EAST WALPOLE",42.145605,-71.222725,0
"MAPLE","EASTHAMPTON",42.2653796,-72.661615,2.1
"NEIL A PEPIN SCHOOL","EASTHAMPTON",42.2687012,-72.6737024,2
"EDGARTOWN ELEMENTARY","EDGARTOWN",41.3890052,-70.5133599,6.7
"ESSEX ELEMENTARY SCHOOL","ESSEX",42.6320387,-70.7903257,2.6
"KEVERIAN SCHOOL","EVERETT",42.4089053,-71.0447697,0
"LAFAYETTE SCHOOL","EVERETT",42.4219614,-71.0510241,1.1
"MADELINE ENGLISH SCHOOL","EVERETT",42.4135,-71.0691,1.1
"PARLIN SCHOOL","EVERETT",42.4108565,-71.0506667,1.1
"ST ANTHONY ELEMENTARY","EVERETT",42.405532,-71.058913,0
"SUMNER G WHITTIER SCHOOL","EVERETT",42.4039982,-71.0576951,0
"WEBSTER SCHOOL","EVERETT",42.4125307,-71.0389441,0
"EAST FAIRHAVEN","FAIRHAVEN",41.6501137,-70.8625103,1.7
"LEROY WOOD SCHOOL","FAIRHAVEN",41.6362156,-70.8805925,1.2
"ATLANTIS CHARTER SCHOOL","FALL RIVER",41.6940842,-71.1630732,0.9
"CARLTON VIVEIROS ELEMENTARY","FALL RIVER",41.6859107,-71.1768235,2.5
"FRANK M SILVIA SCHOOL","FALL RIVER",41.7332619,-71.1109868,5.1
"HENRY LORD COMMUNITY SCHOOL","FALL RIVER",41.6725776,-71.1688767,1.2
"JAMES TANSEY ELEMENTARY","FALL RIVER",41.7187134,-71.1322668,2
"JOHN J DORAN SCHOOL","FALL RIVER",41.7001689,-71.1650253,0
"LETOURNEAU ELEMENTARY","FALL RIVER",41.6729151,-71.1558425,2.5
"MARY FONSECA ELEMENTARY","FALL RIVER",41.7012262,-71.1384181,0
"SAMUEL WATSON","FALL RIVER",41.6843509,-71.1305751,0
"SPENCER BORDEN","FALL RIVER",41.7133259,-71.1310162,1.4
"MULLEN-HALL ELEMENTARY","FALMOUTH",41.5532208,-70.6085886,5.2
"TEATICKET ELEMENTARY","FALMOUTH",41.5676324,-70.5909132,0
"CLIFFORD M GRANGER","FEEDING HILLS",42.0660239,-72.6774348,5.6
"CROCKER ELEMENTARY SCHOOL","FITCHBURG",42.6038746,-71.8062748,0
"MCKAY ARTS ACADEMY","FITCHBURG",42.5949643,-71.7894771,0
"REINGOLD ELEMENTARY","FITCHBURG",42.571385,-71.830917,0
"SOUTH ST ELEMENTARY","FITCHBURG",42.5710555,-71.797735,3.9
"ROBERT K FINN SCHOOL","FLORENCE",42.3173115,-72.6934248,3.1
"FORESTDALE ELEMENTARY","FORESTDALE",41.6917744,-70.4994721,1.5
"CHARLES TAYLOR ELEMENTARY","FOXBORO",42.0486549,-71.253691,2.3
"FOXBORO REG CHARTER SCHOOL","FOXBORO",42.05689,-71.244916,1
"MABELLE BURRELL ELEMENTARY","FOXBORO",42.0610368,-71.2061374,3
"VINCENT M IGO ELEMENTARY","FOXBORO",42.0609593,-71.249785,1.1
"BARBIERI ELEMENTARY","FRAMINGHAM",42.2795401,-71.4322836,0
"BROPHY SCHOOL","FRAMINGHAM",42.3063804,-71.4643059,0
"CHARLOTTE A DUNNING","FRAMINGHAM",42.3213902,-71.4305981,0
"HEMENWAY ELEMENTARY","FRAMINGHAM",42.3301628,-71.4322143,9
"KING ELEMENTARY","FRAMINGHAM",42.279286,-71.4161565,0
"MARY E STAPLETON","FRAMINGHAM",42.3267027,-71.3998737,1.8
"MIRIAM MCCARTHY SCHOOL","FRAMINGHAM",42.2912068,-71.4158942,0
"POTTER ROAD","FRAMINGHAM",42.3389353,-71.4140563,1.4
"ST BRIDGET ELEMENTARY","FRAMINGHAM",42.2986999,-71.432,11.1
"WOODROW WILSON","FRAMINGHAM",42.2710858,-71.3979395,0
"BENJAMIN FRANKLIN CLASSICAL CHARTER SCHOOL","FRANKLIN",42.0890574,-71.400625,0
"DAVIS THAYER SCHOOL","FRANKLIN",42.0841827,-71.4023526,0
"HELEN KELLER ELEMENTARY SCHOOL","FRANKLIN",42.1092193,-71.3976517,0
"J F KENNEDY MEMORIAL SCHOOL","FRANKLIN",42.1082879,-71.4276927,2
"JEFFERSON ELEMENTARY SCHOOL","FRANKLIN",42.0524881,-71.4181624,0
"OAK STREET ELEMENTARY","FRANKLIN",42.0915365,-71.4061334,1.7
"PARMENTER SCHOOL","FRANKLIN",42.071802,-71.395426,1.6
"HOLY FAMILY","GARDNER",42.5739818,-71.9988879,6.7
"WATERFORD ST SCHOOL","GARDNER",42.5725883,-72.0036887,0.5
"PERLEY ELEMENTARY","GEORGETOWN",42.726259,-70.9885797,1.1
"BEEMAN SCHOOL","GLOUCESTER",42.6369194,-70.6724496,1.7
"EAST GLOUCESTER ELEMENTARY","GLOUCESTER",42.608977,-70.6481869,0
"PLUM COVE","GLOUCESTER",42.6748468,-70.6666633,5.7
"VETERANS MEMORIAL","GLOUCESTER",42.6199802,-70.6499599,0
"WEST PARISH SCHOOL","GLOUCESTER",42.6195394,-70.7119901,0
"WEST ST ELEMENTARY","GRANBY",42.2576448,-72.5197185,0
"MUDDY BROOK ELEMENTARY","GREAT BARRINGTON",42.2457259,-73.3295297,6.5
"FEDERAL STREET SCHOOL","GREENFIELD",42.5913933,-72.5977013,0
"FOUR CORNERS","GREENFIELD",42.6089778,-72.588962,4.4
"FLORENCE ROCHE SCHOOL","GROTON",42.6159235,-71.578401,4.6
"DR ELMER BAGNALL","GROVELAND",42.7603688,-71.0314451,1.6
"HADLEY ELEMENTARY","HADLEY",42.3523156,-72.5863134,0
"HARTSBROOK SCHOOL","HADLEY",42.3286796,-72.5651581,46.7
"PIONEER VALLEY CHINESE CHARTER SCH","HADLEY",42.3530562,-72.5581874,2
"HALIFAX ELEMENTARY SCHOOL","HALIFAX",41.9907478,-70.8590792,1.3
"WINTHROP SCHOOL","HAMILTON",42.6133646,-70.8704975,0
"GREEN MEADOWS","HAMPDEN",42.0664901,-72.4136158,0
"CENTER ELEMENTARY SCHOOL","HANOVER",42.1189902,-70.8419866,2.7
"MAQUAN ELEMENTARY SCHOOL","HANSON",42.0630728,-70.8569189,1
"HILDRETH ELEMENTARY SCHOOL","HARVARD",42.4969958,-71.5812043,1.6
"HARWICH ELEMENTARY","HARWICH",41.692133,-70.069797,4.2
"HATFIELD ELEMENTARY SCHOOL","HATFIELD",42.3700892,-72.5981446,3.2
"BARTLETT KINDERGARTEN CTR","HAVERHILL",42.7762015,-71.0772796,0.8
"BRADFORD ELEMENTARY","HAVERHILL",42.7571993,-71.0695248,0
"CROWELL SCHOOL","HAVERHILL",42.7667111,-71.0538378,0
"GOLDEN HILL SCHOOL","HAVERHILL",42.7755252,-71.0584311,0
"HILLVIEW MONTESSORI CHARTER SCHOOL","HAVERHILL",42.7660307,-71.1199589,2.7
"PENTUCKET LAKE SCHOOL","HAVERHILL",42.7951076,-71.0759643,0
"SILVER HILL HORACE MANN CHARTER","HAVERHILL",42.7692216,-71.1011472,0
"TILTON SCHOOL","HAVERHILL",42.7751151,-71.0955306,0
"WALNUT SQUARE SCHOOL","HAVERHILL",42.7937011,-71.083391,2.6
"EAST ELEMENTARY SCHOOL","HINGHAM",42.4031009,-72.8481979,3.6
